1	35 
2	2 
3	31 
4	4 
5	17 
6	37 
7	6 
8	16 
9	30 
10	7 
11	10 
12	16 
13	29 
14	23 
15	12 
16	2 
17	37 
18	11 
19	22 
20	11 
21	11 
22	33 
23	15 
24	32 
25	25 
26	5 
27	46 
28	11 
29	24 
30	13 
31	41 
32	9 
33	7 
34	43 
35	23 
36	7 
37	28 
38	46 
39	44 
40	38 
41	45 
42	45 
43	20 
44	24 
45	22 
46	28 
47	19 
48	32 
49	19 
50	39 
51	28 
52	41 
53	9 
54	16 
55	7 
56	27 
57	31 
58	12 
59	13 
60	42 
61	24 
62	36 
63	27 
64	32 
65	20 
66	40 
67	2 
68	13 
69	18 
70	44 
71	14 
72	7 
73	35 
74	28 
75	4 
76	23 
77	27 
78	18 
79	2 
80	28 
81	4 
82	7 
83	36 
84	35 
85	38 
86	31 
87	38 
88	30 
89	35 
90	39 
91	41 
92	12 
93	10 
94	8 
95	41 
96	28 
97	21 
98	9 
99	9 
100	32 
101	23 
102	41 
103	9 
104	2 
105	29 
106	2 
107	32 
108	9 
109	23 
110	16 
111	18 
112	17 
113	40 
114	12 
115	8 
116	22 
117	31 
118	34 
119	38 
120	18 
121	34 
122	4 
123	6 
124	26 
125	32 
126	12 
127	36 
128	31 
129	24 
130	46 
131	23 
132	26 
133	30 
134	21 
135	12 
136	2 
137	43 
138	14 
139	24 
140	5 
141	20 
142	23 
143	39 
144	14 
145	11 
146	32 
147	3 
148	24 
149	8 
150	5 
151	35 
152	14 
153	17 
154	8 
155	19 
156	7 
157	9 
158	23 
159	43 
160	46 
161	16 
162	15 
163	3 
164	15 
165	2 
166	25 
167	16 
168	5 
169	25 
170	17 
171	36 
172	2 
173	14 
174	35 
175	19 
176	3 
177	22 
178	17 
179	20 
180	7 
181	18 
182	33 
183	43 
184	6 
185	32 
186	15 
187	8 
188	37 
189	10 
190	21 
191	31 
192	41 
193	10 
194	41 
195	7 
196	22 
197	21 
198	21 
199	11 
200	1 
201	24 
202	4 
203	3 
204	15 
205	13 
206	10 
207	31 
208	20 
209	2 
210	44 
211	3 
212	20 
213	22 
214	19 
215	15 
216	32 
217	3 
218	11 
219	15 
220	22 
221	40 
222	21 
223	31 
224	22 
225	7 
226	5 
227	33 
228	29 
229	4 
230	24 
231	43 
232	41 
233	22 
234	28 
235	44 
236	2 
237	15 
238	31 
239	2 
240	8 
241	30 
242	30 
243	34 
244	2 
245	9 
246	30 
247	12 
248	2 
249	14 
250	10 
251	17 
252	22 
253	22 
254	40 
255	26 
256	28 
257	29 
258	27 
259	26 
260	22 
261	19 
262	9 
263	26 
264	20 
265	2 
266	44 
267	28 
268	22 
269	37 
270	27 
271	5 
272	41 
273	5 
274	6 
275	16 
276	6 
277	42 
278	45 
279	12 
280	2 
281	19 
282	20 
283	34 
284	23 
285	28 
286	26 
287	28 
288	45 
289	25 
290	1 
291	9 
292	17 
293	19 
294	20 
295	33 
296	29 
297	36 
298	6 
299	25 
300	24 
301	2 
302	11 
303	11 
304	14 
305	7 
306	29 
307	19 
308	18 
309	12 
310	36 
311	43 
312	8 
313	23 
314	34 
315	14 
316	40 
317	15 
318	35 
319	20 
320	35 
321	25 
322	6 
323	27 
324	19 
325	28 
326	16 
327	7 
328	12 
329	13 
330	42 
331	35 
332	42 
333	38 
334	7 
335	9 
336	43 
337	30 
338	39 
339	41 
340	14 
341	39 
342	15 
343	35 
344	16 
345	27 
346	37 
347	7 
348	46 
349	7 
350	30 
351	27 
352	15 
353	36 
354	34 
355	40 
356	39 
357	10 
358	14 
359	44 
360	37 
361	46 
362	36 
363	27 
364	31 
365	6 
366	30 
367	8 
368	27 
369	6 
370	21 
371	1 
372	20 
373	45 
374	39 
375	10 
376	34 
377	31 
378	18 
379	8 
380	17 
381	27 
382	39 
383	26 
384	3 
385	13 
386	34 
387	33 
388	25 
389	43 
390	6 
391	44 
392	21 
393	22 
394	10 
395	10 
396	4 
397	36 
398	38 
399	40 
400	10 
401	24 
402	38 
403	37 
404	16 
405	19 
406	26 
407	5 
408	5 
409	38 
410	18 
411	3 
412	11 
413	5 
414	22 
415	34 
416	26 
417	36 
418	35 
419	43 
420	8 
421	36 
422	39 
423	45 
424	34 
425	11 
426	3 
427	21 
428	6 
429	19 
430	22 
431	2 
432	26 
433	30 
434	2 
435	1 
436	36 
437	33 
438	39 
439	26 
440	19 
441	18 
442	10 
443	37 
444	13 
445	21 
446	37 
447	11 
448	24 
449	36 
450	20 
451	20 
452	11 
453	1 
454	32 
455	9 
456	13 
457	43 
458	7 
459	37 
460	26 
461	42 
462	46 
463	10 
464	17 
465	24 
466	30 
467	3 
468	25 
469	3 
470	45 
471	11 
472	25 
473	1 
474	1 
475	32 
476	28 
477	10 
478	3 
479	38 
480	5 
481	46 
482	38 
483	3 
484	34 
485	43 
486	36 
487	13 
488	21 
489	37 
490	22 
491	3 
492	1 
493	46 
494	46 
495	31 
496	21 
497	36 
498	42 
499	46 
500	8 
501	39 
502	2 
503	2 
504	35 
505	25 
506	24 
507	29 
508	33 
509	13 
510	25 
511	39 
512	2 
513	9 
514	35 
515	1 
516	19 
517	2 
518	38 
519	22 
520	38 
521	28 
522	38 
523	1 
524	31 
525	34 
526	18 
527	36 
528	30 
529	30 
530	44 
531	4 
532	8 
533	17 
534	36 
535	29 
536	37 
537	39 
538	11 
539	8 
540	44 
541	1 
542	39 
543	13 
